slug,soc_code,title,matched_label,match_score,review_required,top2_label,top2_score,top3_label,top3_score,llm_soc_code,llm_confidence,llm_reason,llm_model,llm_review_required,llm_candidates,api_soc_code,api_soc_title,api_match_method,api_score
biologist,2112,Biologist,Biological scientists,100.0,no,Clinical psychologists,87.5,Biological scientists,87.5,,,,,,,2112,Biological scientists,fuzzy,100.0
biomedical-scientist,2113,Biomedical scientist,Biochemists and biomedical scientists,100.0,no,Chemical scientists,88.2,Physical scientists,87.5,,,,,,,2113,Biochemists and biomedical scientists,fuzzy,100.0
biotechnologist,2119,Biotechnologist,Natural and social science professionals n.e.c.,85.7,no,"Chartered architectural technologists, planning officers and consultants",80.0,Florists,76.9,,,,,,,,,manual_review_override,100.0
blacksmith,2132,Blacksmith,IT managers,100.0,no,"Metal plate workers, smiths, moulders and related occupations",70.0,Ambulance staff (excluding paramedics),60.0,,,,,,,,,no_results,0
boat-builder,5235,Boat builder,Boat and ship builders and repairers,100.0,no,Vehicle body builders and repairers,83.3,Rail and rolling stock builders and repairers,75.0,,,,,,,5235,Boat and ship builders and repairers,add_titles_exact,100.0
bodyguard,9231,Bodyguard,Security guards and related occupations,66.7,no,Gardeners and landscape gardeners,61.5,Farm workers,57.1,,,,,,,,,manual_review_y,100.0
bookkeeper,4122,Bookkeeper,"Book-keepers, payroll managers and wages clerks",100.0,no,Cooks,75.0,Groundsmen and greenkeepers,75.0,,,,,,,4122,"Book-keepers, payroll managers and wages clerks",add_titles_exact,100.0
border-force-officer,1162,Border Force officer,Senior police officers,85.7,no,"Weighers, graders and sorters",66.7,Process operatives n.e.c.,66.7,,,,,,,1162,Senior police officers,manual_review_y,100.0
bricklayer,5313,Bricklayer,Bricklayers,100.0,no,Playworkers,66.7,Sports players,66.7,,,,,,,5313,Bricklayers,add_titles_exact,100.0
british-sign-language-interpreter,3412,British Sign Language interpreter,"Authors, writers and translators",100.0,no,Printers,76.9,Caretakers,71.4,,,,,,,3412,"Authors, writers and translators",fuzzy,100.0
british-sign-language-teacher,2223,British Sign Language teacher,Speech and language therapists,76.5,no,Chefs,75.0,Butchers,72.7,,,,,,,2223,Speech and language therapists,manual_review_y,100.0
broadcast-engineer,2124,Broadcast engineer,Electronics engineers,83.3,no,Production and process engineers,81.2,Engineering project managers and project engineers,78.8,,,,,,,2124,Electronics engineers,manual_review_y,100.0
broadcast-journalist,2492,Broadcast journalist,Newspaper and periodical broadcast journalists and reporters,100.0,no,Florists,72.7,Artists,72.7,,,,,,,2492,Newspaper and periodical broadcast journalists and reporters,add_titles_exact,100.0
builders-merchant,5319,Builders' merchant,Construction and building trades n.e.c.,100.0,no,Visual merchandisers and related occupations,66.7,"Vehicle technicians, mechanics and electricians",66.7,,,,,,,5319,Construction and building trades n.e.c.,fuzzy,100.0
building-control-officer,6121,Building control officer,Pest control officers,88.9,no,Building and civil engineering technicians,76.9,Construction and building trades n.e.c.,73.3,,,,,,,6121,Pest control officers,api_ranked_manual_pass,88.9
building-services-engineer,2121,Building services engineer,Civil engineers,100.0,no,Quality control and planning engineers,82.8,Building and civil engineering technicians,79.1,,,,,,,2121,Civil engineers,fuzzy,100.0
building-site-inspector,3581,Building site inspector,Inspectors of standards and regulations,100.0,no,Routine inspectors and testers,72.3,Construction and building trades supervisors,69.6,,,,,,,3581,Inspectors of standards and regulations,fuzzy,100.0
building-surveyor,2454,Building surveyor,Chartered surveyors,100.0,no,Quantity surveyors,71.4,Construction and building trades n.e.c.,71.0,,,,,,,2454,Chartered surveyors,add_titles_exact,100.0
building-technician,3114,Building technician,Building and civil engineering technicians,84.8,no,Construction and building trades n.e.c.,100.0,Building and civil engineering technicians,100.0,,,,,,,3114,Building and civil engineering technicians,manual_review_override,100.0
bus-or-coach-driver,8212,Bus or coach driver,Bus and coach drivers,100.0,no,Crane drivers,76.2,Delivery operatives,71.4,,,,,,,8212,Bus and coach drivers,fuzzy,100.0
business-adviser,2431,Business adviser,Management consultants and business analysts,100.0,no,"Business, research and administrative professionals n.e.c.",75.9,Business sales executives,75.0,,,,,,,2431,Management consultants and business analysts,add_titles_exact,100.0
business-analyst,2431,Business analyst,Management consultants and business analysts,100.0,no,"IT business analysts, architects and systems designers",100.0,Data analysts,80.0,,,,,,,2431,Management consultants and business analysts,fuzzy,100.0
business-development-manager,3556,Business development manager,Sales accounts and business development managers,100.0,no,Research and development (R&D) managers,73.7,Programmers and software development professionals,73.3,,,,,,,3556,Sales accounts and business development managers,add_titles_exact,100.0
business-project-manager,2440,Business project manager,Business and financial project management professionals,100.0,no,IT project managers,88.9,Business associate professionals n.e.c.,85.7,,,,,,,2440,Business and financial project management professionals,fuzzy,100.0
butcher,5431,Butcher,Butchers,100.0,no,Chefs,75.0,"Arts officers, producers and directors",72.7,,,,,,,5431,Butchers,add_titles_exact,100.0
cabin-crew,6213,Cabin crew,Air travel assistants,100.0,no,Taxi and cab drivers and chauffeurs,60.0,Metal making and treating process operatives,60.0,,,,,,,6213,Air travel assistants,add_titles_exact,100.0
cad-technician,3119,CAD technician,"Science, engineering and production technicians n.e.c.",100.0,no,Call and contact centre occupations,80.0,Caretakers,80.0,,,,,,,3119,"Science, engineering and production technicians n.e.c.",fuzzy,100.0
cake-decorator,5432,Cake decorator,Bakers and flour confectioners,100.0,no,Painters and decorators,84.6,Care escorts,76.2,,,,,,,5432,Bakers and flour confectioners,add_titles_exact,100.0
car-manufacturing-worker,8142,Car manufacturing worker,Assemblers (vehicles and metal goods),100.0,no,Senior care workers,85.7,Farm workers,75.0,,,,,,,8142,Assemblers (vehicles and metal goods),fuzzy,100.0
car-rental-agent,6212,Car rental agent,Travel agents,85.7,no,Senior care workers,85.7,Collector salespersons and credit agents,71.4,,,,,,,6212,Travel agents,manual_review_override,100.0
care-escort,6137,Care escort,Care escorts,99.0,no,Senior care workers,100.0,"Actuaries, economists and statisticians",72.7,,,,,,,6137,Care escorts,title_exact,99.0
care-home-manager,1232,Care home manager,"Residential, day and domiciliary care managers and proprietors",100.0,no,Care workers and home carers,100.0,Care escorts,80.0,,,,,,,1232,"Residential, day and domiciliary care managers and proprietors",fuzzy,100.0
care-worker,6136,Care worker,Senior care workers,100.0,no,Care escorts,100.0,Senior care workers,100.0,,,,,,,6136,Senior care workers,fuzzy,100.0
careers-adviser,3572,Careers adviser,Careers advisers and vocational guidance specialists,100.0,no,Careers advisers and vocational guidance specialists,100.0,Caretakers,80.0,,,,,,,3572,Careers advisers and vocational guidance specialists,add_titles_exact,100.0
caretaker,6232,Caretaker,Caretakers,100.0,no,Senior care workers,100.0,Careers advisers and vocational guidance specialists,80.0,,,,,,,6232,Caretakers,add_titles_exact,100.0
carpenter,5316,Carpenter,Carpenters and joiners,100.0,no,Senior care workers,85.7,Careers advisers and vocational guidance specialists,80.0,,,,,,,5316,Carpenters and joiners,add_titles_exact,100.0
carpet-fitter-and-floor-layer,5322,Carpet fitter and floor layer,Floorers and wall tilers,100.0,no,Senior care workers,85.7,Pipe fitters,81.8,,,,,,,5322,Floorers and wall tilers,fuzzy,100.0
cartographer,3120,Cartographer,"CAD, drawing and architectural technicians",100.0,no,Dancers and choreographers,81.8,Medical radiographers,80.0,,,,,,,3120,"CAD, drawing and architectural technicians",add_titles_exact,100.0
catering-manager,5436,Catering manager,Catering and bar managers,100.0,no,Bar and catering supervisors,100.0,Catering and bar managers,100.0,,,,,,,5436,Catering and bar managers,add_titles_exact,100.0
cavity-insulation-installer,5315,Cavity insulation installer,Plumbers and heating and ventilating installers and repairers,70.6,no,Plumbers and heating and ventilating installers and repairers,70.4,Senior care workers,66.7,,,,,,,5315,Plumbers and heating and ventilating installers and repairers,manual_review_y,100.0
ceiling-fixer,9129,Ceiling fixer,Elementary construction occupations n.e.c.,61.5,no,Chefs,66.7,"Tyre, exhaust and windscreen fitters",64.0,,,,,,,9129,Elementary construction occupations n.e.c.,manual_review_y,100.0
celebrant,2463,Celebrant,Clergy,71.4,no,Cleaning and housekeeping managers and supervisors,71.4,Elementary process plant occupations n.e.c.,66.7,,,,,,,,,manual_review_override,100.0
cemetery-worker,9112,Cemetery worker,Forestry and related workers,81.5,no,Elementary storage occupations n.e.c.,75.0,Elementary storage supervisors,75.0,,,,,,,9112,Forestry and related workers,manual_review_override,100.0
ceramics-designer-maker,5222,Ceramics designer-maker,"Tool makers, tool fitters and markers-out",82.4,no,Interior designers,72.7,Senior care workers,66.7,,,,,,,5222,"Tool makers, tool fitters and markers-out",manual_review_y,100.0
charity-fundraiser,3554,Charity fundraiser,Advertising and marketing associate professionals,100.0,no,Senior care workers,75.0,Chefs,66.7,,,,,,,3554,Advertising and marketing associate professionals,fuzzy,100.0
chef,5434,Chef,Chefs,100.0,no,Chemical and related process operatives,85.7,Chemical scientists,85.7,,,,,,,5434,Chefs,add_titles_exact,100.0
chemical-engineer,2125,Chemical engineer,Production and process engineers,100.0,no,Electrical engineers,86.7,Chefs,85.7,,,,,,,2125,Production and process engineers,add_titles_exact,100.0
chemical-engineering-technician,3113,Chemical engineering technician,Engineering technicians,100.0,no,Chefs,85.7,Mechanical engineers,83.3,,,,,,,3113,Engineering technicians,fuzzy,100.0
chemical-plant-process-operator,8113,Chemical plant process operator,Chemical and related process operatives,100.0,no,Chemical and related process operatives,86.4,Chefs,85.7,,,,,,,8113,Chemical and related process operatives,fuzzy,100.0
chemist,2111,Chemist,Chemical scientists,100.0,no,Chefs,85.7,Chemical and related process operatives,83.3,,,,,,,2111,Chemical scientists,add_titles_exact,100.0
chief-inspector,1162,Chief inspector,Senior police officers,88.9,no,Education advisers and school inspectors,80.0,Chefs,75.0,,,,,,,1162,Senior police officers,manual_review_override,100.0
child-protection-officer,3222,Child protection officer,Child and early years officers,100.0,no,Construction operatives n.e.c.,70.0,IT project managers,70.0,,,,,,,3222,Child and early years officers,add_titles_exact,100.0
childminder,6114,Childminder,Childminders,100.0,no,Child and early years officers,70.0,Chefs,66.7,,,,,,,6114,Childminders,add_titles_exact,100.0
children-s-nurse,2236,Children's nurse,Registered children's nurses,100.0,no,Dental nurses,75.0,Childminders,70.6,,,,,,,2236,Registered children's nurses,fuzzy,100.0
chiropractor,2229,Chiropractor,Therapy professionals n.e.c.,100.0,no,Metal machining setters and setter-operators,72.7,Communication operators,70.0,,,,,,,2229,Therapy professionals n.e.c.,add_titles_exact,100.0
choreographer,3414,Choreographer,Dancers and choreographers,100.0,no,"Photographers, audio-visual and broadcasting equipment operators",80.0,Medical radiographers,76.2,,,,,,,3414,Dancers and choreographers,add_titles_exact,100.0
cinema-or-theatre-attendant,9267,Cinema or theatre attendant,Leisure and theme park attendants,100.0,no,Leisure and theme park attendants,73.9,IT managers,66.7,,,,,,,9267,Leisure and theme park attendants,fuzzy,100.0
civil-enforcement-officer,6312,Civil enforcement officer,Parking and civil enforcement occupations,100.0,no,Civil engineers,72.7,IT managers,66.7,,,,,,,6312,Parking and civil enforcement occupations,add_titles_exact,100.0
civil-engineer,2121,Civil engineer,Civil engineers,99.0,no,Civil engineers,100.0,Electrical engineers,84.6,,,,,,,2121,Civil engineers,title_exact,99.0
civil-engineering-technician,3114,Civil engineering technician,Building and civil engineering technicians,100.0,no,Engineering technicians,100.0,Civil engineers,100.0,,,,,,,3114,Building and civil engineering technicians,add_titles_exact,100.0
civil-service-administrative-officer,4112,Civil Service administrative officer,Local government administrative occupations,90.9,no,Other administrative occupations n.e.c.,82.4,Human resources administrative occupations,82.4,,,,,,,4112,Local government administrative occupations,fuzzy,90.9
civil-service-executive-officer,1111,Civil Service executive officer,Chief executives and senior officials,80.0,no,Chief executives and senior officials,80.0,Civil engineers,69.6,,,,,,,1111,Chief executives and senior officials,manual_review_y,100.0
civil-service-manager,1172,Civil Service manager,Social services managers and directors,90.5,no,Building and civil engineering technicians,100.0,Civil engineers,100.0,,,,,,,1172,Social services managers and directors,fuzzy,90.5
cleaner,9223,Cleaner,Cleaners and domestics,100.0,no,"Launderers, dry cleaners and pressers",100.0,Cleaners and domestics,100.0,,,,,,,9223,Cleaners and domestics,add_titles_exact,100.0
climate-scientist,2119,Climate scientist,Natural and social science professionals n.e.c.,100.0,no,Artists,80.0,Physical scientists,80.0,,,,,,,2119,Natural and social science professionals n.e.c.,fuzzy,100.0
clinical-engineer,2129,Clinical engineer,Engineering professionals n.e.c.,90.9,no,Electrical engineers,86.7,Civil engineers,84.6,,,,,,,2129,Engineering professionals n.e.c.,fuzzy,90.9
clinical-psychologist,2225,Clinical psychologist,Clinical psychologists,100.0,no,Managers in logistics,85.7,Other psychologists,83.9,,,,,,,2225,Clinical psychologists,add_titles_exact,100.0
clinical-scientist,2119,Clinical scientist,Natural and social science professionals n.e.c.,100.0,no,Biochemists and biomedical scientists,87.5,Biological scientists,87.5,,,,,,,2119,Natural and social science professionals n.e.c.,fuzzy,100.0
cnc-machinist,5221,CNC machinist,Metal machining setters and setter-operators,100.0,no,Plant and machine operatives n.e.c.,69.6,Printing machine assistants,69.6,,,,,,,5221,Metal machining setters and setter-operators,add_titles_exact,100.0
coastguard,8232,Coastguard,Marine and waterways transport operatives,66.7,no,Construction operatives n.e.c.,62.5,Construction and building trades supervisors,62.5,,,,,,,,,manual_review_override,100.0
cognitive-behavioural-therapist,2224,Cognitive behavioural therapist,Psychotherapists and cognitive behaviour therapists,100.0,no,Psychotherapists and cognitive behaviour therapists,96.7,Occupational therapists,75.7,,,,,,,2224,Psychotherapists and cognitive behaviour therapists,add_titles_exact,100.0
commercial-energy-assessor,2129,Commercial energy assessor,Engineering professionals n.e.c.,85.7,no,Marketing and commercial managers,69.6,Energy plant operatives,66.7,,,,,,,3574,Other vocational and industrial trainers,manual_review_override,100.0
communication-support-worker,2224,Communication support worker,Psychotherapists and cognitive behaviour therapists,83.3,no,Police community support officers,84.2,Communication operators,83.3,,,,,,,3221,Youth and community workers,manual_review_override,100.0
community-arts-worker,3221,Community arts worker,Youth and community workers,86.5,no,Registered community nurses,85.7,Artists,80.0,,,,,,,3221,Youth and community workers,manual_review_override,100.0
community-development-worker,3221,Community development worker,Youth and community workers,90.2,no,Youth and community workers,75.0,Sales accounts and business development managers,72.7,,,,,,,3221,Youth and community workers,fuzzy,90.2
community-education-co-ordinator,2329,Community education co-ordinator,Other educational professionals n.e.c,72.7,no,IT managers,100.0,Cooks,75.0,,,,,,,2329,Other educational professionals n.e.c,manual_review_y,100.0
community-matron,2232,Community matron,Registered community nurses,82.8,no,Communication operators,75.9,Public relations and communications directors,75.9,,,,,,,2232,Registered community nurses,manual_review_override,100.0
community-transport-driver,8219,Community transport driver,Road transport drivers n.e.c.,100.0,no,Road transport drivers n.e.c.,89.5,Air transport operatives,84.6,,,,,,,8219,Road transport drivers n.e.c.,fuzzy,100.0
company-secretary,4214,Company secretary,Company secretaries and administrators,100.0,no,Professional/Chartered company secretaries,94.1,Caretakers,75.0,,,,,,,4214,Company secretaries and administrators,add_titles_exact,100.0
computer-games-developer,2134,Computer games developer,Programmers and software development professionals,85.0,no,Sales accounts and business development managers,65.2,Programmers and software development professionals,65.2,,,,,,,2134,Programmers and software development professionals,manual_review_override,100.0
computer-games-tester,2134,Computer games tester,Programmers and software development professionals,100.0,no,Cooks,66.7,Customer service managers,66.7,,,,,,,2134,Programmers and software development professionals,manual_review_override,100.0
conservator,2472,Conservator,"Archivists, conservators and curators",100.0,no,Conservation professionals,90.9,Painters and decorators,77.8,,,,,,,2472,"Archivists, conservators and curators",add_titles_exact,100.0
construction-contracts-manager,1122,Construction contracts manager,Production managers and directors in construction,100.0,no,Road construction operatives,82.8,Construction project managers and related professionals,78.0,,,,,,,1122,Production managers and directors in construction,fuzzy,100.0
construction-labourer,9129,Construction labourer,Elementary construction occupations n.e.c.,100.0,no,Construction and building trades supervisors,83.3,Construction and building trades n.e.c.,83.3,,,,,,,9129,Elementary construction occupations n.e.c.,fuzzy,100.0
construction-manager,1122,Construction manager,Production managers and directors in construction,100.0,no,Construction operatives n.e.c.,100.0,Rail construction and maintenance operatives,100.0,,,,,,,1122,Production managers and directors in construction,add_titles_exact,100.0
construction-plant-mechanic,2129,Construction plant mechanic,Engineering professionals n.e.c.,85.7,no,Road construction operatives,82.8,Rail construction and maintenance operatives,78.4,,,,,,,5231,"Vehicle technicians, mechanics and electricians",manual_review_override,100.0
construction-plant-operator,5330,Construction plant operator,Construction and building trades supervisors,87.0,no,Road construction operatives,82.8,IT operations technicians,81.8,,,,,,,7112,Retail cashiers and check-out operators,manual_review_override,100.0
construction-site-supervisor,5330,Construction site supervisor,Construction and building trades supervisors,100.0,no,IT managers,100.0,Construction and building trades supervisors,90.2,,,,,,,5330,Construction and building trades supervisors,fuzzy,100.0
consumer-scientist,2119,Consumer scientist,Natural and social science professionals n.e.c.,100.0,no,Social and humanities scientists,75.9,Chemical scientists,73.3,,,,,,,2119,Natural and social science professionals n.e.c.,fuzzy,100.0
copy-editor,2491,Copy editor,"Newspaper, periodical and broadcast editors",100.0,no,"Newspaper, periodical and broadcast editors",77.8,Cooks,66.7,,,,,,,2491,"Newspaper, periodical and broadcast editors",fuzzy,100.0
coroner,2411,Coroner,Barristers and judges,100.0,no,Cooks,75.0,Bakers and flour confectioners,72.7,,,,,,,2411,Barristers and judges,add_titles_exact,100.0
corporate-responsibility-and-sustainability-practitioner,2152,Corporate responsibility and sustainability practitioner,Environment professionals,80.0,no,Dental practitioners,82.4,Pre-press technicians,75.0,,,,,,,2253,Dental practitioners,manual_review_override,100.0
costume-designer,2141,Costume designer,Web design professionals,90.9,no,"Clothing, fashion and accessories designers",76.9,Graphic and multimedia designers,75.0,,,,,,,2141,Web design professionals,fuzzy,90.9
counsellor,3224,Counsellor,Counsellors,99.0,no,Conservation professionals,75.0,Cooks,66.7,,,,,,,3224,Counsellors,title_exact,99.0
counter-service-assistant,7219,Counter service assistant,Customer service occupations n.e.c.,90.2,no,Construction operatives n.e.c.,76.9,Construction and building trades supervisors,76.9,,,,,,,7219,Customer service occupations n.e.c.,fuzzy,90.2
countryside-officer,1162,Countryside officer,Senior police officers,90.9,no,Cooks,66.7,Police community support officers,63.6,,,,,,,1162,Senior police officers,fuzzy,90.9
countryside-ranger,5119,Countryside ranger,Agricultural and fishing trades n.e.c.,100.0,no,Counsellors,62.5,Printers,61.5,,,,,,,5119,Agricultural and fishing trades n.e.c.,add_titles_exact,100.0
court-administrative-assistant,4159,Court administrative assistant,Other administrative occupations n.e.c.,100.0,no,Other administrative occupations n.e.c.,85.0,Financial administrative occupations n.e.c.,82.4,,,,,,,4159,Other administrative occupations n.e.c.,fuzzy,100.0
court-legal-adviser,2419,Court legal adviser,Legal professionals n.e.c.,100.0,no,Careers advisers and vocational guidance specialists,66.7,Finance and investment analysts and advisers,66.7,,,,,,,2419,Legal professionals n.e.c.,fuzzy,100.0
court-usher,9231,Court usher,Security guards and related occupations,100.0,no,Cooks,66.7,Butchers,66.7,,,,,,,9231,Security guards and related occupations,add_titles_exact,100.0
crane-driver,8221,Crane driver,Crane drivers,100.0,no,Mobile machine drivers and operatives n.e.c.,85.7,Train and tram drivers,81.8,,,,,,,8221,Crane drivers,add_titles_exact,100.0
credit-controller,4121,Credit controller,Credit controllers,100.0,no,IT managers,100.0,Senior care workers,85.7,,,,,,,4121,Credit controllers,add_titles_exact,100.0
crematorium-technician,6138,Crematorium technician,"Undertakers, mortuary and crematorium assistants",100.0,no,Senior care workers,85.7,Managers and directors in the creative industries,70.6,,,,,,,6138,"Undertakers, mortuary and crematorium assistants",add_titles_exact,100.0
criminologist,2115,Criminologist,Social and humanities scientists,100.0,no,Florists,76.9,Other psychologists,72.7,,,,,,,2115,Social and humanities scientists,add_titles_exact,100.0
critical-care-technologist,2233,Critical care technologist,Registered specialist nurses,80.0,no,IT managers,100.0,Managers in logistics,85.7,,,,,,,6135,Care workers and home carers,manual_review_override,100.0
crop-technician,3119,Crop technician,"Science, engineering and production technicians n.e.c.",100.0,no,Assemblers (electrical and electronic products),75.0,"Food, drink and tobacco process operatives",75.0,,,,,,,3119,"Science, engineering and production technicians n.e.c.",fuzzy,100.0
crown-prosecutor,2411,Crown prosecutor,Barristers and judges,100.0,no,IT project managers,70.0,Hairdressing and beauty salon managers and proprietors,69.0,,,,,,,2411,Barristers and judges,add_titles_exact,100.0
cruise-ship-steward,5436,Cruise ship steward,Catering and bar managers,73.7,no,Farm workers,57.1,Pipe fitters,57.1,,,,,,,5436,Catering and bar managers,manual_review_y,100.0
customer-service-assistant,7219,Customer service assistant,Customer service occupations n.e.c.,100.0,no,Customer service occupations n.e.c.,100.0,Customer service managers,100.0,,,,,,,7219,Customer service occupations n.e.c.,add_titles_exact,100.0
customer-services-manager,4143,Customer services manager,Customer service managers,98.0,no,Customer service occupations n.e.c.,100.0,Customer service managers,100.0,,,,,,,4143,Customer service managers,fuzzy,98.0
cyber-intelligence-officer,2135,Cyber intelligence officer,Cyber security professionals,85.7,no,Senior care workers,66.7,Chefs,66.7,,,,,,,1162,Senior police officers,manual_review_override,100.0
cycle-mechanic,5231,Cycle mechanic,"Vehicle technicians, mechanics and electricians",85.7,no,Electrical service and maintenance mechanics and repairers,78.6,Mechanical engineers,72.7,,,,,,,5231,"Vehicle technicians, mechanics and electricians",manual_review_y,100.0
cycling-coach,3432,Cycling coach,"Sports coaches, instructors and officials",80.0,no,Chefs,66.7,Industrial cleaning process occupations,61.5,,,,,,,3224,Counsellors,manual_review_override,100.0
dance-movement-psychotherapist,2224,Dance movement psychotherapist,Psychotherapists and cognitive behaviour therapists,100.0,no,Artists,72.7,Finance officers,66.7,,,,,,,2224,Psychotherapists and cognitive behaviour therapists,fuzzy,100.0
dance-teacher,3414,Dance teacher,Dancers and choreographers,100.0,no,Dancers and choreographers,75.0,Butchers,72.7,,,,,,,3414,Dancers and choreographers,add_titles_exact,100.0
dancer,3414,Dancer,Dancers and choreographers,100.0,no,Aircraft maintenance and related trades,83.3,Careers advisers and vocational guidance specialists,83.3,,,,,,,3414,Dancers and choreographers,add_titles_exact,100.0
data-analyst-statistician,3544,Data analyst-statistician,Data analysts,100.0,no,Artists,83.3,Musicians,80.0,,,,,,,3544,Data analysts,fuzzy,100.0
data-protection-officer,3544,Data protection officer,Data analysts,100.0,no,IT project managers,80.0,Construction operatives n.e.c.,70.0,,,,,,,3544,Data analysts,fuzzy,100.0
data-scientist,2119,Data scientist,Natural and social science professionals n.e.c.,100.0,no,Biochemists and biomedical scientists,84.6,Biological scientists,84.6,,,,,,,2119,Natural and social science professionals n.e.c.,fuzzy,100.0
database-administrator,3133,Database administrator,Database administrators and web content technicians,100.0,no,Sales administrators,94.1,Company secretaries and administrators,82.9,,,,,,,3133,Database administrators and web content technicians,add_titles_exact,100.0
delivery-van-driver,8214,Delivery van driver,Delivery drivers and couriers,100.0,no,Delivery drivers and couriers,88.2,Crane drivers,85.7,,,,,,,8214,Delivery drivers and couriers,fuzzy,100.0
demolition-operative,8159,Demolition operative,Construction operatives n.e.c.,87.5,no,Human resources and industrial relations officers,70.6,Inspectors of standards and regulations,63.2,,,,,,,8159,Construction operatives n.e.c.,manual_review_y,100.0
dental-hygienist,3213,Dental hygienist,Medical and dental technicians,100.0,no,Officers of non-governmental organisations,68.8,Artists,66.7,,,,,,,3213,Medical and dental technicians,add_titles_exact,100.0
dental-nurse,6133,Dental nurse,Dental nurses,100.0,no,Registered mental health nurses,78.3,Dental practitioners,76.2,,,,,,,6133,Dental nurses,add_titles_exact,100.0
dental-technician,3213,Dental technician,Medical and dental technicians,100.0,no,Medical and dental technicians,100.0,Dental practitioners,100.0,,,,,,,3213,Medical and dental technicians,add_titles_exact,100.0
dental-therapist,3219,Dental therapist,Health associate professionals n.e.c.,100.0,no,Speech and language therapists,81.5,Psychotherapists and cognitive behaviour therapists,76.9,,,,,,,3219,Health associate professionals n.e.c.,fuzzy,100.0
dentist,2253,Dentist,Dental practitioners,100.0,no,Physical scientists,92.3,Biochemists and biomedical scientists,92.3,,,,,,,2253,Dental practitioners,add_titles_exact,100.0
design-and-development-engineer,2123,Design and development engineer,Electrical engineers,87.5,no,Civil engineers,78.3,Mechanical engineers,75.0,,,,,,,2123,Electrical engineers,manual_review_y,100.0
dietitian,2132,Dietitian,IT managers,100.0,no,"Actuaries, economists and statisticians",70.6,Beauticians and related occupations,66.7,,,,,,,,,no_results,0
digital-delivery-manager,2132,Digital delivery manager,IT managers,88.9,no,IT managers,100.0,Delivery drivers and couriers,66.7,,,,,,,2132,IT managers,api_ranked_manual_pass,88.9
digital-product-owner,2132,Digital product owner,IT managers,80.0,no,"Science, engineering and production technicians n.e.c.",68.6,Process operatives n.e.c.,66.7,,,,,,,5422,Printers,manual_review_override,100.0
diplomatic-service-officer,3312,Diplomatic Service officer,Police officers (sergeant and below),88.0,no,Cleaners and domestics,66.7,Managers in logistics,66.7,,,,,,,3312,Police officers (sergeant and below),api_ranked_manual_pass,88.0
director-of-photography,3417,Director of photography,"Photographers, audio-visual and broadcasting equipment operators",87.0,no,Dancers and choreographers,72.7,Medical radiographers,63.2,,,,,,,3417,"Photographers, audio-visual and broadcasting equipment operators",manual_review_y,100.0
dispensing-optician,3211,Dispensing optician,Dispensing opticians,100.0,no,Musicians,76.9,Pharmacy and optical dispensing assistants,73.9,,,,,,,3211,Dispensing opticians,add_titles_exact,100.0
district-nurse,2232,District nurse,Registered community nurses,100.0,no,Dental nurses,73.7,Registered nurse practitioners,71.4,,,,,,,2232,Registered community nurses,add_titles_exact,100.0
diver,9129,Diver,Elementary construction occupations n.e.c.,100.0,no,Mobile machine drivers and operatives n.e.c.,88.9,Fork-lift truck drivers,88.9,,,,,,,9129,Elementary construction occupations n.e.c.,fuzzy,100.0
dj,3415,DJ,Musicians,66.7,no,Forestry and related workers,66.7,Driving instructors,66.7,,,,,,,,,manual_review_override,100.0
dog-groomer,6129,Dog groomer,Animal care services occupations n.e.c,100.0,no,Customer service managers,66.7,Brokers,66.7,,,,,,,6129,Animal care services occupations n.e.c,fuzzy,100.0
dog-handler,6129,Dog handler,Animal care services occupations n.e.c.,85.7,no,Clergy,66.7,Window cleaners,63.6,,,,,,,8233,Air transport operatives,manual_review_override,100.0
domestic-appliance-service-engineer,5246,Domestic appliance service engineer,Electrical service and maintenance mechanics and repairers,100.0,no,Civil engineers,80.0,Aerospace engineers,77.8,,,,,,,5246,Electrical service and maintenance mechanics and repairers,fuzzy,100.0
domestic-energy-assessor,2129,Domestic energy assessor,Engineering professionals n.e.c.,100.0,no,Energy plant operatives,66.7,Clergy,66.7,,,,,,,2129,Engineering professionals n.e.c.,manual_review_override,100.0
door-supervisor,9231,Door supervisor,Security guards and related occupations,100.0,no,Construction and building trades supervisors,85.7,"Skilled metal, electrical and electronic trades supervisors",85.7,,,,,,,9231,Security guards and related occupations,add_titles_exact,100.0
dramatherapist,2224,Dramatherapist,Psychotherapists and cognitive behaviour therapists,80.0,no,Speech and language therapists,78.3,Occupational therapists,78.3,,,,,,,,,manual_review_override,100.0
dressmaker,5413,Dressmaker,Tailors and dressmakers,100.0,no,Fishmongers and poultry dressers,82.4,"Launderers, dry cleaners and pressers",75.0,,,,,,,5413,Tailors and dressmakers,add_titles_exact,100.0
driving-instructor,8215,Driving instructor,Driving instructors,100.0,no,Fitness and wellbeing instructors,87.5,Construction operatives n.e.c.,76.2,,,,,,,8215,Driving instructors,add_titles_exact,100.0
drone-pilot,3417,Drone pilot,"Photographers, audio-visual and broadcasting equipment operators",100.0,no,Elementary process plant occupations n.e.c.,63.6,Fishmongers and poultry dressers,63.6,,,,,,,3417,"Photographers, audio-visual and broadcasting equipment operators",fuzzy,100.0
dryliner,2129,Dryliner,Engineering professionals n.e.c.,72.7,no,Train and tram drivers,71.4,Mobile machine drivers and operatives n.e.c.,71.4,,,,,,,,,manual_review_override,100.0
